"player_name","fant_pos","g.x","r_att","r_yds","rya","rtd","tgt","rec","rec_yds","rec_y_r","rec_td","fmb","fl","td","ppr","pos","ybc","yac","brk_tkl"
"Devontae Booker","RB",8,33,223,6.76,1,8,8,60,7.5,0,1,0,1,42.3,NA,124,99,2
"Tony Pollard","RB",9,47,206,4.38,1,19,13,78,6,0,0,0,1,47.4,"rb",90,116,1
"DeeJay Dallas","RB",6,27,80,2.96,2,12,11,58,5.27,1,0,0,3,42.8,"rb",44,36,0
"Justin Jackson","RB",6,45,185,4.11,0,19,15,131,8.73,0,0,0,0,46.6,"rb",126,59,1
"Kerryon Johnson","RB",8,29,109,3.76,1,10,8,79,9.88,1,0,0,2,38.8,"rb",76,33,2
"Devonta Freeman","RB",5,54,172,3.19,1,10,7,58,8.29,0,0,0,1,36,"rb",104,68,2
"Carlos Hyde","RB",4,31,125,4.03,2,7,6,34,5.67,0,0,0,2,33.9,NA,100,25,0
"La'Mical Perine","RB",8,47,169,3.6,1,12,10,49,4.9,0,0,0,1,37.8,NA,88,81,2
"Jordan Howard","RB",5,28,33,1.18,4,1,1,-3,-3,0,1,0,4,28,"rb",8,25,1
"Kyle Juszczyk","RB",9,7,36,5.14,2,15,10,118,11.8,0,0,0,2,37.4,"fb",20,16,0
"Benny Snell Jr.","RB",8,47,168,3.57,2,3,2,0,0,0,2,1,2,28.8,NA,88,80,4
"Sony Michel","RB",3,26,173,6.65,1,3,2,23,11.5,0,0,0,1,27.6,"rb",48,125,3
"Dion Lewis","RB",9,19,59,3.11,1,22,14,89,6.36,1,1,1,2,38.8,NA,34,25,0
"James White","RB",6,16,51,3.19,0,30,25,195,7.8,0,1,0,0,49.6,NA,31,20,0
"Duke Johnson","RB",6,34,95,2.79,1,17,14,109,7.79,0,2,1,1,38.4,NA,26,69,1
"Jamycal Hasty","RB",7,36,135,3.75,1,6,5,37,7.4,0,1,0,1,28.2,NA,99,36,0
"Jalen Richard","RB",8,14,83,5.93,1,15,12,90,7.5,0,0,0,1,35.3,NA,46,37,1
"Chris Thompson","RB",7,7,20,2.86,0,23,20,146,7.3,1,0,0,1,42.6,NA,10,10,0
"Kalen Ballage","RB",4,18,82,4.56,1,13,11,82,7.45,0,0,0,1,33.4,NA,47,35,0
"Travis Homer","RB",8,25,88,3.52,0,7,6,71,11.83,1,0,0,1,27.9,NA,56,32,2
"Darrel Williams","RB",9,20,80,4,1,14,9,60,6.67,0,0,0,1,31,NA,51,29,0
"Peyton Barber","RB",8,38,81,2.13,2,2,1,4,4,0,0,0,2,21.5,"rb",44,37,0
"Matt Breida","RB",7,37,128,3.46,0,8,7,79,11.29,0,1,0,0,27.7,NA,63,65,0
"Le'Veon Bell","RB",5,35,128,3.66,0,7,7,65,9.29,0,1,0,0,26.3,NA,58,70,5
"Cam Akers","RB",6,35,148,4.23,0,2,2,23,11.5,0,0,0,0,19.1,"rb",41,107,3
"Jeremy McNichols","RB",8,23,147,6.39,0,7,4,19,4.75,0,0,0,0,20.6,NA,75,72,4
"Alec Ingold","RB",8,2,2,1,0,11,9,97,10.78,1,0,0,1,24.9,"fb",0,2,0
"Reggie Bonnafon","RB",2,12,69,5.75,0,2,2,18,9,1,0,0,1,16.7,NA,49,20,0
"Tyler Ervin","RB",6,12,67,5.58,0,14,10,81,8.1,0,0,0,0,24.8,NA,48,19,1
"D'Ernest Johnson","RB",8,29,142,4.9,0,3,2,9,4.5,0,1,0,0,17.1,NA,81,61,2
