"player_name","fant_pos","g.x","r_att","r_yds","rya","rtd","tgt","rec","rec_yds","rec_y_r","rec_td","fmb","fl","td","ppr","pos","ybc","yac","brk_tkl"
"Kyle Juszczyk*","RB",12,3,7,2.33,0,24,20,239,11.95,1,0,0,1,50.6,"FB",2,5,0
"Qadree Ollison","RB",8,22,50,2.27,4,2,1,7,7,0,1,0,4,30.7,NA,29,21,0
"Mark Walton","RB",7,53,201,3.79,0,21,15,89,5.93,0,1,1,0,42,NA,91,110,1
"Dontrell Hilliard","RB",14,13,49,3.77,2,15,12,92,7.67,0,2,0,2,38.1,NA,36,13,0
"Bilal Powell","RB",13,59,229,3.88,0,12,7,33,4.71,0,0,0,0,33.2,"/rb",82,147,4
"Ito Smith","RB",7,22,106,4.82,1,14,11,87,7.91,0,0,0,1,36.3,NA,71,35,2
"Ameer Abdullah","RB",16,23,115,5,0,21,15,88,5.87,1,1,1,1,39.3,NA,77,38,2
"Myles Gaskin","RB",7,36,133,3.69,1,12,7,51,7.29,0,0,0,1,31.4,NA,28,105,0
"Reggie Bonnafon","RB",16,16,116,7.25,1,9,6,57,9.5,0,0,0,1,29.3,NA,92,24,1
"Darwin Thompson","RB",12,37,128,3.46,1,10,9,43,4.78,0,0,0,1,32.1,NA,58,70,4
"Justin Jackson","RB",7,29,200,6.9,0,11,9,22,2.44,0,0,0,0,31.2,NA,99,101,4
"C.J. Ham*","RB",16,7,17,2.43,0,26,17,149,8.76,1,1,1,1,37.6,"FB",4,13,1
"Ty Montgomery","RB",16,32,103,3.22,0,17,13,90,6.92,0,0,0,0,32.3,"/rb",61,42,0
"C.J. Prosise","RB",9,23,72,3.13,1,12,10,76,7.6,0,1,1,1,28.8,NA,39,33,1
"Darrell Henderson","RB",13,39,147,3.77,0,6,4,37,9.25,0,0,0,0,22.4,NA,84,63,7
"Travis Homer","RB",16,18,114,6.33,0,13,11,56,5.09,0,0,0,0,28,NA,82,32,0
"T.J. Yeldon","RB",6,17,63,3.71,0,15,13,124,9.54,0,1,1,0,29.7,NA,15,48,4
"Wendell Smallwood","RB",15,22,81,3.68,0,13,9,64,7.11,0,0,0,0,23.5,NA,47,34,1
"Trey Edmunds","RB",11,22,92,4.18,0,7,6,48,8,0,0,0,0,20,NA,53,39,0
"Wes Hills","RB",1,10,21,2.1,2,2,2,1,0.5,0,0,0,2,16.2,NA,9,12,0
"Kerrith Whyte Jr","RB",6,24,122,5.08,0,1,1,9,9,0,0,0,0,14.1,NA,47,75,1
"Alec Ingold","RB",16,10,17,1.7,0,6,6,44,7.33,1,0,0,1,18.1,NA,9,8,0
"Javorius Allen","RB",10,10,36,3.6,1,2,1,9,9,0,0,0,1,11.5,NA,-5,41,0
"Darren Sproles","RB",6,17,66,3.88,0,10,6,24,4,0,1,0,0,17,"/rb",40,26,0
"Andy Janovich","RB",7,1,1,1,1,5,5,42,8.4,0,0,0,1,15.3,"/fb",0,1,0
"Danny Vitale","RB",15,1,3,3,0,12,7,97,13.86,0,0,0,0,17,NA,2,1,0
"Derek Watt","RB",16,7,10,1.43,1,5,3,32,10.67,0,0,0,1,13.2,"/fb",5,5,0
"Kenjon Barner","RB",14,4,28,7,0,8,6,22,3.67,0,4,1,1,15.1,NA,22,6,0
"D'Ernest Johnson","RB",16,4,21,5.25,0,7,6,71,11.83,0,0,0,0,15.2,NA,18,3,0
"Marshawn Lynch","RB",1,12,34,2.83,1,0,0,0,NA,0,0,0,1,9.4,NA,20,14,0
"Alex Armah","RB",16,6,11,1.83,1,2,2,6,3,0,0,0,1,9.7,NA,6,5,0
"Devontae Booker","RB",16,2,9,4.5,0,9,6,57,9.5,0,0,0,0,12.6,NA,0,9,1
"Tra Carson","RB",3,18,48,2.67,0,4,4,18,4.5,0,0,0,0,10.6,NA,19,29,0
"Troymaine Pope","RB",14,10,20,2,0,3,2,14,7,1,1,1,1,9.4,NA,11,9,0
"Spencer Ware","RB",3,17,51,3,0,7,5,22,4.4,0,1,0,0,12.3,NA,21,30,2
"Dwayne Washington","RB",16,8,60,7.5,0,1,1,6,6,0,0,0,0,7.6,NA,9,51,2
"Zach Line","RB",12,7,20,2.86,0,10,6,36,6,0,0,0,0,11.6,"/fb",10,10,0
"Mike Davis","RB",12,13,27,2.08,0,8,7,22,3.14,0,0,0,0,11.9,NA,15,12,0
"Patrick DiMarco","RB",16,3,7,2.33,0,7,5,41,8.2,0,0,0,0,9.8,"fb",1,6,0
"Jon Hilliman","RB",3,30,91,3.03,0,4,3,1,0.33,0,2,2,0,8.2,NA,45,46,0
"Taiwan Jones","RB",11,9,40,4.44,0,1,1,9,9,0,0,0,0,5.9,NA,26,14,0
"Devine Ozigbo","RB",10,9,27,3,0,5,3,23,7.67,0,0,0,0,8,NA,11,16,0
"Elijhaa Penny","RB",16,15,39,2.6,0,4,2,9,4.5,0,0,0,0,6.8,NA,16,23,1
"C.J. Anderson","RB",2,16,43,2.69,0,0,0,0,NA,0,0,0,0,4.3,NA,6,37,1
"Paul Perkins","RB",4,12,29,2.42,0,1,1,9,9,0,0,0,0,4.8,NA,16,13,1
"Jay Ajayi","RB",3,10,30,3,0,1,0,0,NA,0,0,0,0,3,NA,9,21,5
"Dalyn Dawkins","RB",2,11,26,2.36,0,1,0,0,NA,0,0,0,0,2.6,NA,17,9,0
"Anthony Sherman","RB",16,4,9,2.25,0,3,2,22,11,0,0,0,0,5.1,NA,9,0,0
"Tyler Ervin","RB",10,1,10,10,0,4,2,11,5.5,0,2,0,0,4.1,NA,3,7,1
"T.J. Logan","RB",12,3,10,3.33,0,3,2,13,6.5,0,0,0,0,4.3,NA,6,4,0
"Samaje Perine","RB",7,5,16,3.2,0,0,0,0,NA,0,0,0,0,1.6,NA,11,5,1
"Keith Smith","RB",16,5,8,1.6,0,3,1,13,13,0,0,0,0,3.1,"fb",0,8,0
"Zach Zenner","RB",5,3,-2,-0.67,0,3,2,19,9.5,0,0,0,0,3.7,NA,-2,0,0
"Josh Adams","RB",3,8,12,1.5,0,0,0,0,NA,0,0,0,0,1.2,NA,5,7,0
"Tony Brooks-James","RB",3,8,7,0.88,0,0,0,0,NA,0,0,0,0,0.7,NA,-11,18,2
"Josh Ferguson","RB",2,3,9,3,0,0,0,0,NA,0,0,0,0,0.9,NA,9,0,0
"Damien Harris","RB",2,4,12,3,0,0,0,0,NA,0,0,0,0,1.2,NA,8,4,0
"Buddy Howell","RB",16,5,10,2,0,0,0,0,NA,0,0,0,0,1,NA,7,3,0
"John Kelly","RB",4,3,9,3,0,0,0,0,NA,0,0,0,0,0.9,NA,5,4,0
"Ryan Nall","RB",8,2,8,4,0,0,0,0,NA,0,0,0,0,0.8,NA,3,5,0
"Jordan Scarlett","RB",9,4,9,2.25,0,0,0,0,NA,0,0,0,0,0.9,NA,4,5,0
"De'Lance Turner","RB",8,4,6,1.5,0,0,0,0,NA,0,0,0,0,0.6,NA,1,5,0
"Dexter Williams","RB",4,5,11,2.2,0,0,0,0,NA,0,0,0,0,1.1,NA,6,5,0
"Alfred Morris","RB",1,1,4,4,0,0,0,0,NA,0,0,0,0,0.4,NA,2,2,0
"Senorise Perry","RB",11,3,3,1,0,1,1,1,1,0,0,0,0,1.4,NA,0,3,1
