Rk,Player,Tm,FantPos,Age,G,GS,Cmp,PAtt,PYds,PTD,Int,RAtt,RYds,RYA,RTD,Tgt,Rec,RecYds,RecY/R,RecTD,Fmb,FL,TD,2PM,2PP,PPR
187,Taysom Hill\HillTa00,NOR,QB,30,8,3,4,5,86,0,0,26,141,5.42,1,8,6,74,12.33,1,2,1,2,,,40.9
188,Boston Scott\ScotBo02,PHI,RB,25,8,3,0,0,0,0,0,48,183,3.81,0,17,12,103,8.58,1,1,0,1,,,46.6
189,Willie Snead\SneaWi00,BAL,WR,28,8,6,0,0,0,0,0,0,0,,0,26,20,292,14.6,1,1,0,1,,,55.2
190,Golden Tate\TateGo00,NYG,WR,32,7,2,1,1,18,0,0,0,0,,0,29,22,226,10.27,2,0,0,2,,,57.3
191,Jordan Wilkins\WilkJo01,IND,RB,26,8,0,0,0,0,0,0,60,222,3.7,1,6,5,45,9,0,0,0,1,1,,39.7
192,Devontae Booker\BookDe00,LVR,RB,28,8,0,0,0,0,0,0,33,223,6.76,1,8,8,60,7.5,0,1,0,1,,,42.3
193,Damiere Byrd\ByrdDa00,NWE,WR,27,8,6,0,0,0,0,0,0,0,,0,41,26,337,12.96,0,2,0,0,,,59.7
194,Chris Conley\ConlCh00,JAX,WR,28,8,1,0,0,0,0,0,0,0,,0,34,22,276,12.55,1,0,0,1,,,55.6
195,Adam Humphries\HumpAd00,TEN,WR,27,6,1,0,0,0,0,0,0,0,,0,31,22,219,9.95,2,0,0,2,,,55.9
196,Breshad Perriman\PerrBr02,NYJ,WR,27,5,5,0,0,0,0,0,0,0,,0,24,16,219,13.69,2,0,0,2,,,49.9
197,Tony Pollard\PollTo00,DAL,RB,23,9,1,0,0,0,0,0,47,206,4.38,1,19,13,78,6,0,0,0,1,,,47.4
198,Gerald Everett\EverGe00,LAR,TE,26,8,3,0,0,0,0,0,1,2,2,1,27,20,228,11.4,1,1,1,2,,,53
199,Sterling Shepard\ShepSt00,NYG,WR,27,5,5,0,0,0,0,0,2,24,12,0,36,28,248,8.86,1,0,0,1,,,61.2
200,Sammy Watkins\WatkSa00,KAN,WR,27,5,4,0,0,0,0,0,1,3,3,0,29,21,222,10.57,2,1,1,2,,,53.5
201,Cedrick Wilson\WilsCe01,DAL,WR,25,9,0,1,1,11,1,0,2,-11,-5.5,0,25,15,179,11.93,2,0,0,2,,,48.2
202,DeeJay Dallas\DallDe00,SEA,RB,22,6,2,0,0,0,0,0,27,80,2.96,2,12,11,58,5.27,1,0,0,3,,,42.8
203,A.J. Green\GreeA.00,CIN,WR,32,8,7,0,0,0,0,0,0,0,,0,63,31,316,10.19,0,0,0,0,,,62.6
204,Justin Jackson\JackJu01,LAC,RB,25,6,4,0,0,0,0,0,45,185,4.11,0,19,15,131,8.73,0,0,0,0,,,46.6
205,Jakobi Meyers\MeyeJa01,NWE,WR,24,6,2,0,0,0,0,0,1,2,2,0,31,23,294,12.78,0,0,0,0,1,,54.6
206,Demarcus Robinson\RobiDe01,KAN,WR,26,9,5,0,0,0,0,0,0,0,,0,30,21,220,10.48,2,1,1,2,,,53
207,Harrison Bryant\BryaHa00,CLE,TE,22,8,4,0,0,0,0,0,0,0,,0,21,15,151,10.07,3,1,1,3,,,46.1
208,Trey Burton\BurtTr01,IND,TE,29,5,1,0,0,0,0,0,2,3,1.5,2,24,15,122,8.13,1,0,0,3,,,45.5
209,Kerryon Johnson\JohnKe06,DET,RB,23,8,2,0,0,0,0,0,29,109,3.76,1,10,8,79,9.88,1,0,0,2,,,38.8
210,Henry Ruggs III\RuggHe00,LVR,WR,21,6,6,0,0,0,0,0,5,32,6.4,0,21,10,220,22,1,0,0,1,,,41.2
211,Olamide Zaccheaus\ZaccOl01,ATL,WR,23,9,2,0,0,0,0,0,1,0,0,0,28,18,253,14.06,1,0,0,1,,,49.3
212,Jeff Driskel\DrisJe00,DEN,QB,27,3,1,35,64,432,3,2,6,28,4.67,0,0,0,0,,0,0,0,0,,1,30.1
213,Anthony Firkser\FirkAn00,TEN,TE,25,8,1,0,0,0,0,0,0,0,,0,31,24,244,10.17,1,0,0,1,,,54.4
214,Rashard Higgins\HiggRa00,CLE,WR,26,6,1,0,0,0,0,0,0,0,,0,15,12,177,14.75,2,0,0,2,,,41.7
215,Tyler Kroft\KrofTy00,BUF,TE,28,9,4,0,0,0,0,0,0,0,,0,16,12,119,9.92,3,0,0,3,,,41.9
216,Irv Smith Jr.\SmitIr01,MIN,TE,22,8,3,0,0,0,0,0,0,0,,0,21,13,159,12.23,2,0,0,2,1,,42.9
217,Devonta Freeman\FreeDe00,NYG,RB,28,5,4,0,0,0,0,0,54,172,3.19,1,10,7,58,8.29,0,0,0,1,,,36
218,KJ Hamler\HamlKJ00,DEN,WR,21,6,3,0,0,0,0,0,4,32,8,0,28,17,190,11.18,1,2,0,1,,,45.2
219,Carlos Hyde\HydeCa00,SEA,RB,30,4,0,0,0,0,0,0,31,125,4.03,2,7,6,34,5.67,0,0,0,2,,,33.9
220,Andy Isabella\IsabAn00,ARI,WR,24,8,0,0,0,0,0,0,1,-6,-6,0,21,13,164,12.62,2,1,0,2,,,40.8
221,La'Mical Perine\PeriLa00,NYJ,RB,22,8,0,0,0,0,0,0,47,169,3.6,1,12,10,49,4.9,0,0,0,1,,,37.8
222,Tua Tagovailoa\TagoTu00,MIA,QB,22,3,2,34,52,350,3,0,9,35,3.89,0,0,0,0,,0,1,1,0,,,27.5
223,Austin Hooper\HoopAu00,CLE,TE,26,6,6,0,0,0,0,0,0,0,,0,33,22,205,9.32,1,0,0,1,,,48.5
224,Jordan Howard\HowaJo00,MIA,RB,26,5,3,0,0,0,0,0,28,33,1.18,4,1,1,-3,-3,0,1,0,4,,,28
225,O.J. Howard\HowaO.00,TAM,TE,26,4,1,0,0,0,0,0,0,0,,0,19,11,146,13.27,2,0,0,2,,,37.6
226,Dontrelle Inman\InmaDo00,WAS,WR,31,7,2,0,0,0,0,0,0,0,,0,27,17,148,8.71,2,1,0,2,,,43.8
227,Kyle Juszczyk\JuszKy00,SFO,RB,29,9,8,0,0,0,0,0,7,36,5.14,2,15,10,118,11.8,0,0,0,2,,,37.4
228,Benny Snell Jr.\SnelBe00,PIT,RB,22,8,0,0,0,0,0,0,47,168,3.57,2,3,2,0,0,0,2,1,2,,,28.8
229,Zach Ertz\ErtzZa00,PHI,TE,30,6,6,0,0,0,0,0,0,0,,0,45,24,178,7.42,1,0,0,1,1,,49.8
230,Larry Fitzgerald\FitzLa00,ARI,WR,37,8,8,0,0,0,0,0,0,0,,0,42,33,261,7.91,0,0,0,0,,,59.1
231,Jakeem Grant\GranJa00,MIA,WR,28,8,1,0,0,0,0,0,2,17,8.5,0,24,18,186,10.33,0,1,0,1,,,44.3
232,Marvin Hall\HallMa02,DET,WR,27,8,2,0,0,0,0,0,1,1,1,0,20,10,197,19.7,1,0,0,1,,,35.8
233,Isaiah McKenzie\McKeIs00,BUF,WR,25,9,4,0,0,0,0,0,5,5,1,0,16,15,138,9.2,2,0,0,2,,,41.3
234,Sony Michel\MichSo00,NWE,RB,25,3,3,0,0,0,0,0,26,173,6.65,1,3,2,23,11.5,0,0,0,1,,,27.6
235,Deebo Samuel\SamuDe00,SFO,WR,24,4,3,0,0,0,0,0,6,14,2.33,0,22,16,185,11.56,1,0,0,1,,,41.9
236,Jordan Akins\AkinJo00,HOU,TE,28,5,2,0,0,0,0,0,0,0,,0,19,16,187,11.69,1,0,0,1,,,40.7
237,Deonte Harris\HarrDe07,NOR,WR,23,7,2,0,0,0,0,0,5,28,5.6,0,20,15,160,10.67,1,1,0,1,,,39.8
238,T.Y. Hilton\HiltT.00,IND,WR,31,7,7,0,0,0,0,0,0,0,,0,39,22,251,11.41,0,0,0,0,,,47.1
239,Dion Lewis\LewiDi00,NYG,RB,30,9,0,0,0,0,0,0,19,59,3.11,1,22,14,89,6.36,1,1,1,2,,,38.8
240,James White\WhitJa02,NWE,RB,28,6,0,0,0,0,0,0,16,51,3.19,0,30,25,195,7.8,0,1,0,0,,,49.6
241,Richie James\JameRi00,SFO,WR,25,4,1,0,0,0,0,0,0,0,,0,13,9,184,20.44,1,0,0,1,,,33.4
242,Duke Johnson\JohnDu00,HOU,RB,27,6,0,0,0,0,0,0,34,95,2.79,1,17,14,109,7.79,0,2,1,1,,,38.4
243,Marcus Johnson\JohnMa07,IND,WR,26,5,3,0,0,0,0,0,0,0,,0,23,13,241,18.54,0,0,0,0,,,37.1
244,Tyler Johnson\JohnTy00,TAM,WR,22,7,2,0,0,0,0,0,0,0,,0,12,10,118,11.8,2,0,0,2,,,33.8
245,Kyle Rudolph\RudoKy00,MIN,TE,31,8,8,0,0,0,0,0,0,0,,0,19,14,175,12.5,1,0,0,1,,,37.5
246,Nick Boyle\BoylNi00,BAL,TE,27,8,8,0,0,0,0,0,0,0,,0,16,13,109,8.38,2,0,0,2,,,35.9
247,Devin Duvernay\DuveDe00,BAL,WR,23,8,0,0,0,0,0,0,2,41,20.5,0,15,11,129,11.73,0,0,0,1,,,34
248,Jamycal Hasty\HastJa02,SFO,RB,24,7,0,0,0,0,0,0,36,135,3.75,1,6,5,37,7.4,0,1,0,1,,,28.2
249,Greg Olsen\OlseGr00,SEA,TE,35,8,6,0,0,0,0,0,0,0,,0,29,19,171,9,1,0,0,1,,,42.1
250,Jalen Richard\RichJa01,LVR,RB,27,8,0,0,0,0,0,0,14,83,5.93,1,15,12,90,7.5,0,0,0,1,,,35.3
251,Cam Sims\SimsCa00,WAS,WR,24,8,2,0,0,0,0,0,0,0,,0,8,7,171,24.43,1,0,0,1,,,30.1
252,Chris Thompson\ThomCh03,JAX,RB,30,7,0,0,0,0,0,0,7,20,2.86,0,23,20,146,7.3,1,0,0,1,,,42.6
253,Kalen Ballage\BallKa00,2TM,RB,25,4,0,0,0,0,0,0,18,82,4.56,1,13,11,82,7.45,0,0,0,1,,,33.4
254,Travis Homer\HomeTr00,SEA,RB,22,8,0,0,0,0,0,0,25,88,3.52,0,7,6,71,11.83,1,0,0,1,,,27.9
255,David Njoku\NjokDa00,CLE,TE,24,5,2,0,0,0,0,0,0,0,,0,13,8,102,12.75,2,0,0,2,,,30.2
256,Darrel Williams\WillDa10,KAN,RB,25,9,0,0,0,0,0,0,20,80,4,1,14,9,60,6.67,0,0,0,1,1,,31
257,Peyton Barber\BarbPe01,WAS,RB,26,8,1,0,0,0,0,0,38,81,2.13,2,2,1,4,4,0,0,0,2,,,21.5
258,Miles Boykin\BoykMi00,BAL,WR,24,8,6,0,0,0,0,0,0,0,,0,23,14,153,10.93,1,0,0,1,,,35.3
259,Matt Breida\BreiMa00,MIA,RB,25,7,0,0,0,0,0,0,37,128,3.46,0,8,7,79,11.29,0,1,0,0,,,27.7
260,Jack Doyle\DoylJa00,IND,TE,30,7,7,0,0,0,0,0,0,0,,0,15,9,108,12,2,1,1,2,,,29.8
261,Dallas Goedert\GoedDa00,PHI,TE,25,4,2,0,0,0,0,0,0,0,,0,19,14,153,10.93,1,0,0,1,,,35.3
262,DaeSean Hamilton\HamiDa01,DEN,WR,25,8,2,0,0,0,0,0,0,0,,0,21,11,152,13.82,1,0,0,1,,,32.2
263,N'Keal Harry\HarrNK00,NWE,WR,23,6,6,0,0,0,0,0,1,2,2,0,32,19,172,9.05,1,1,1,1,,,40.4
264,Jake Luton\LutoJa00,JAX,QB,24,1,1,26,38,304,1,1,1,13,13,1,0,0,0,,0,1,0,1,,,21.5
265,Jordan Reed\ReedJo02,SFO,TE,30,4,0,0,0,0,0,0,0,0,,0,18,12,88,7.33,2,0,0,2,,,32.8
266,Will Dissly\DissWi00,SEA,TE,24,8,5,0,0,0,0,0,0,0,,0,14,12,137,11.42,1,0,0,1,,,31.7
267,Tyler Eifert\EifeTy00,JAX,TE,30,7,2,0,0,0,0,0,0,0,,0,28,15,141,9.4,1,0,0,1,,,35.1
268,Jalen Reagor\ReagJa00,PHI,WR,21,3,3,0,0,0,0,0,1,6,6,0,14,8,112,14,1,1,0,1,1,,27.8
269,Kenny Stills\StilKe00,HOU,WR,28,8,0,0,0,0,0,0,0,0,,0,18,10,138,13.8,1,0,0,1,,,29.8
270,Le'Veon Bell\BellLe00,2TM,RB,28,5,2,0,0,0,0,0,35,128,3.66,0,7,7,65,9.29,0,1,0,0,,,26.3
271,John Hightower\HighJo00,PHI,WR,24,8,4,0,0,0,0,0,0,0,,0,24,9,166,18.44,0,0,0,0,1,,27.6
272,Cordarrelle Patterson\PattCo00,CHI,WR,29,9,2,0,0,0,0,0,29,88,3.03,0,19,17,105,6.18,0,0,0,0,,,36.3
273,Ross Dwelley\DwelRo00,SFO,TE,25,9,4,0,0,0,0,0,0,0,,0,12,9,122,13.56,1,0,0,1,,,27.2
274,Isaiah Ford\FordIs00,MIA,WR,24,7,0,0,0,0,0,0,0,0,,0,29,18,184,10.22,0,0,0,0,,,36.4
275,Jacob Hollister\HollJa03,SEA,TE,27,8,1,0,0,0,0,0,0,0,,0,15,11,98,8.91,1,0,0,1,1,,28.8
276,Tyron Johnson\JohnTy03,LAC,WR,24,4,0,0,0,0,0,0,3,17,5.67,0,3,2,103,51.5,1,0,0,1,,,20
277,Albert Okwuegbunam\OkwuAl00,DEN,TE,22,4,0,0,0,0,0,0,0,0,,0,15,11,121,11,1,0,0,1,,,29.1
278,Kalif Raymond\RaymKa00,TEN,WR,26,8,2,0,0,0,0,0,1,-3,-3,0,12,9,187,20.78,0,0,0,0,,,27.4
279,Richard Rodgers\RodgRi00,PHI,TE,28,8,2,0,0,0,0,0,0,0,,0,18,15,184,12.27,0,0,0,0,,,33.4
280,Adam Shaheen\ShahAd00,MIA,TE,26,8,2,0,0,0,0,0,0,0,,0,9,5,58,11.6,2,0,0,2,,,22.8
281,Cam Akers\AkerCa00,LAR,RB,21,6,2,0,0,0,0,0,35,148,4.23,0,2,2,23,11.5,0,0,0,0,,,19.1
282,Dan Arnold\ArnoDa00,ARI,TE,25,8,4,0,0,0,0,0,0,0,,0,16,12,170,14.17,0,1,0,0,,,29
283,DeSean Jackson\JackDe00,PHI,WR,34,4,4,0,0,0,0,0,1,12,12,0,25,13,155,11.92,0,0,0,0,,,29.7
284,Jeremy McNichols\McNiJe00,TEN,RB,25,8,0,0,0,0,0,0,23,147,6.39,0,7,4,19,4.75,0,0,0,0,,,20.6
285,Drew Sample\SampDr00,CIN,TE,24,8,5,0,0,0,0,0,0,0,,0,26,19,174,9.16,0,0,0,0,,,36.4
286,Mike Thomas\ThomMi04,CIN,WR,26,8,0,0,0,0,0,0,1,1,1,0,17,13,132,10.15,1,1,1,1,,,30.3
287,Andy Dalton\DaltAn00,DAL,QB,33,4,2,52,85,452,1,3,6,20,3.33,0,0,0,0,,0,2,1,0,,,16.1
288,Alec Ingold\IngoAl01,LVR,RB,24,8,2,0,0,0,0,0,2,2,1,0,11,9,97,10.78,1,0,0,1,,,24.9
289,James O'Shaughnessy\O'ShJa00,JAX,TE,28,8,8,0,0,0,0,0,0,0,,0,20,16,156,9.75,0,0,0,0,,,31.6
290,Donald Parham\ParhDo00,LAC,TE,23,5,1,0,0,0,0,0,0,0,,0,6,2,41,20.5,2,0,0,2,,,18.1
291,Freddie Swain\SwaiFr00,SEA,WR,22,8,1,0,0,0,0,0,0,0,,0,11,7,97,13.86,1,0,0,1,,,22.7
292,Reggie Bonnafon\BonnRe00,CAR,RB,24,2,0,0,0,0,0,0,12,69,5.75,0,2,2,18,9,1,0,0,1,,,16.7
293,Cameron Brate\BratCa00,TAM,TE,29,9,0,0,0,0,0,0,0,0,,0,12,10,93,9.3,1,0,0,1,,,25.3
294,Tyler Ervin\ErviTy00,GNB,RB,27,6,0,0,0,0,0,0,12,67,5.58,0,14,10,81,8.1,0,0,0,0,,,24.8
295,Garrett Gilbert\GilbGa01,DAL,QB,29,1,1,21,38,243,1,1,3,28,9.33,0,0,0,0,,0,0,0,0,,,14.5
296,Jesse James\JameJe00,DET,TE,26,8,3,0,0,0,0,0,0,0,,0,10,7,85,12.14,1,0,0,1,,,21.5
297,D'Ernest Johnson\JohnDE04,CLE,RB,24,8,0,0,0,0,0,0,29,142,4.9,0,3,2,9,4.5,0,1,0,0,,,17.1
298,Marcedes Lewis\LewiMa00,GNB,TE,36,7,7,0,0,0,0,0,0,0,,0,9,4,32,8,2,0,0,2,,,19.2
299,Denzel Mims\MimsDe00,NYJ,WR,23,3,3,0,0,0,0,0,0,0,,0,18,10,146,14.6,0,0,0,0,,,24.6
300,Byron Pringle\PrinBy00,KAN,WR,27,9,1,0,0,0,0,0,0,0,,0,7,6,91,15.17,0,0,0,1,,,21.1
301,Jace Sternberger\SterJa00,GNB,TE,24,8,0,0,0,0,0,0,0,0,,0,11,8,86,10.75,1,0,0,1,,,22.6
302,Ian Thomas\ThomIa00,CAR,TE,24,9,5,0,0,0,0,0,0,0,,0,17,11,86,7.82,1,1,0,1,,,25.6
303,C.J. Uzomah\UzomC.00,CIN,TE,27,2,2,0,0,0,0,0,0,0,,0,11,8,87,10.88,1,0,0,1,,,22.7
304,T.J. Yeldon\YeldT.00,BUF,RB,27,3,0,0,0,0,0,0,10,70,7,0,4,1,22,22,1,1,0,1,,,16.2
305,Marquez Callaway\CallMa01,NOR,WR,22,6,1,0,0,0,0,0,0,0,,0,19,15,136,9.07,0,0,0,0,,,28.6
306,Darrell Daniels\DaniDa02,ARI,TE,26,8,6,0,0,0,0,0,0,0,,0,8,6,83,13.83,1,0,0,1,,,20.3
307,Zay Jones\JoneZa00,LVR,WR,25,8,1,0,0,0,0,0,0,0,,0,12,9,81,9,1,0,0,1,,,23.1
308,Cole Kmet\KmetCo00,CHI,TE,21,9,4,0,0,0,0,0,0,0,,0,8,6,79,13.17,1,0,0,1,,,19.9
309,Gabe Nabers\NabeGa00,LAC,RB,23,8,3,0,0,0,0,0,1,4,4,0,4,3,11,3.67,2,0,0,2,,,16.5
310,Michael Pittman Jr.\PittMi01,IND,WR,23,5,2,0,0,0,0,0,0,0,,0,20,14,135,9.64,0,0,0,0,,,27.5
311,Jeff Smith\SmitJe03,NYJ,WR,23,6,4,0,0,0,0,0,0,0,,0,33,14,141,10.07,0,0,0,0,,,28.1
312,Durham Smythe\SmytDu00,MIA,TE,25,7,5,0,0,0,0,0,0,0,,0,8,7,76,10.86,1,0,0,1,,,20.6
313,JJ Arcega-Whiteside\ArceJJ00,PHI,WR,24,7,0,0,0,0,0,0,0,0,,0,5,2,45,22.5,0,0,0,1,1,,14.5
314,Quintez Cephus\CephQu00,DET,WR,22,5,1,0,0,0,0,0,0,0,,0,15,8,128,16,0,0,0,0,,,20.8
315,Royce Freeman\FreeRo00,DEN,RB,24,8,0,0,0,0,0,0,20,68,3.4,0,8,7,58,8.29,0,0,0,0,,,19.6
316,Collin Johnson\JohnCo01,JAX,WR,23,8,0,0,0,0,0,0,0,0,,0,13,7,69,9.86,1,0,0,1,,,19.9
317,Alex Smith\SmitAl03,WAS,QB,36,2,0,33,49,362,1,3,1,1,1,0,0,0,0,,0,1,0,0,,,12.6
318,Adam Trautman\TrauAd00,NOR,TE,23,7,1,0,0,0,0,0,0,0,,0,7,6,73,12.17,1,0,0,1,,,19.3
319,Tarik Cohen\CoheTa00,CHI,RB,25,3,0,0,0,0,0,0,14,74,5.29,0,9,6,41,6.83,0,0,0,0,,,17.5
320,Chris Hogan\HogaCh00,NYJ,WR,33,5,4,0,0,0,0,0,0,0,,0,26,14,118,8.43,0,0,0,0,,,25.8
321,Van Jefferson\JeffVa00,LAR,WR,24,8,0,0,0,0,0,0,1,-1,-1,0,14,9,121,13.44,0,1,0,0,,,21
322,Foster Moreau\MoreFo00,LVR,TE,23,8,1,0,0,0,0,0,0,0,,0,5,4,64,16,1,0,0,1,,,16.4
323,Donovan Peoples-Jones\PeopDo00,CLE,WR,21,5,1,0,0,0,0,0,0,0,,0,4,3,56,18.67,1,0,0,1,,,14.6
324,Auden Tate\TateAu00,CIN,WR,23,6,2,0,0,0,0,0,0,0,,0,14,11,121,11,0,0,0,0,,,23.1
325,Malik Taylor\TaylMa01,GNB,WR,25,8,1,0,0,0,0,0,1,9,9,0,5,4,52,13,1,0,0,1,,,16.1
326,Jason Witten\WittJa00,LVR,TE,38,8,5,0,0,0,0,0,0,0,,0,10,10,56,5.6,1,0,0,1,,,21.6
327,C.J. Beathard\BeatC.00,SFO,QB,27,2,0,23,37,232,1,0,0,0,,0,0,0,0,,0,1,1,0,,,11.3
328,AJ Dillon\DillAJ00,GNB,RB,22,7,0,0,0,0,0,0,23,97,4.22,0,1,1,16,16,0,0,0,0,,,12.3
329,Virgil Green\GreeVi00,LAC,TE,32,6,3,0,0,0,0,0,0,0,,0,6,3,50,16.67,1,0,0,1,,,14
330,Josh Hill\HillJo02,NOR,TE,30,8,4,0,0,0,0,0,0,0,,0,9,7,45,6.43,1,1,0,1,,,17.5
331,Ray-Ray McCloud\McClRa00,PIT,WR,24,8,1,0,0,0,0,0,2,63,31.5,0,9,8,46,5.75,0,0,0,0,,,18.9
332,Brett Rypien\RypiBr00,DEN,QB,24,3,1,27,40,295,2,4,5,-5,-1,0,0,0,0,,0,1,0,0,,,11.3
333,Ke'Shawn Vaughn\VaugKe00,TAM,RB,23,6,0,0,0,0,0,0,8,46,5.75,0,7,4,27,6.75,1,1,1,1,,,15.3
334,Christian Blake\BlakCh00,ATL,WR,24,9,0,0,0,0,0,0,0,0,,0,12,9,97,10.78,0,0,0,0,,,18.7
335,Noah Brown\BrowNo00,DAL,WR,24,9,1,0,0,0,0,0,0,0,,0,12,9,95,10.56,0,0,0,0,,,18.5
336,Bryan Edwards\EdwaBr01,LVR,WR,22,4,3,0,0,0,0,0,0,0,,0,6,5,99,19.8,0,0,0,0,,,14.9
337,Alfred Morris\MorrAl00,NYG,RB,32,2,0,0,0,0,0,0,17,95,5.59,0,1,1,4,4,0,0,0,0,,,10.9
338,Ryan Nall\NallRy00,CHI,RB,25,9,0,0,0,0,0,0,0,0,,0,6,6,39,6.5,1,0,0,1,,,15.9
339,Samaje Perine\PeriSa00,CIN,RB,25,8,0,0,0,0,0,0,12,35,2.92,1,2,2,5,2.5,0,0,0,1,,,12
340,Troymaine Pope\PopeTr00,LAC,RB,27,3,0,0,0,0,0,0,11,73,6.64,0,7,5,28,5.6,0,0,0,0,,,15.1
341,Brandon Powell\PoweBr00,ATL,WR,24,9,0,0,0,0,0,0,1,4,4,0,8,5,40,8,1,1,0,1,,,15.4
342,Javon Wims\WimsJa00,CHI,WR,26,8,1,0,0,0,0,0,0,0,,0,8,5,35,7,1,0,0,1,,,14.5
343,Isaiah Wright\WrigIs01,WAS,WR,23,6,2,0,0,0,0,0,3,16,5.33,0,20,16,102,6.38,0,3,1,0,,,25.8
344,Ameer Abdullah\AbduAm00,MIN,RB,27,8,0,0,0,0,0,0,2,7,3.5,0,2,2,23,11.5,1,0,0,1,,,11
345,Saquon Barkley\BarkSa00,NYG,RB,23,2,2,0,0,0,0,0,19,34,1.79,0,9,6,60,10,0,0,0,0,,,15.4
346,Parris Campbell\CampPa00,IND,WR,23,2,2,0,0,0,0,0,2,16,8,0,9,6,71,11.83,0,0,0,0,,,14.7
347,Ryan Izzo\IzzoRy00,NWE,TE,25,8,8,0,0,0,0,0,0,0,,0,15,9,114,12.67,0,1,1,0,,,18.4
348,Olabisi Johnson\JohnOl00,MIN,WR,23,8,2,0,0,0,0,0,0,0,,0,9,5,93,18.6,0,0,0,0,,,14.3
349,Anthony McFarland Jr.\McFaAn00,PIT,RB,21,6,0,0,0,0,0,0,17,64,3.76,0,6,4,28,7,0,0,0,0,,,13.2
350,Joe Reed\ReedJo03,LAC,WR,22,6,0,0,0,0,0,0,5,29,5.8,1,1,0,0,,0,0,0,1,,,8.9
351,Steven Sims\SimsSt00,WAS,WR,23,4,2,0,0,0,0,0,0,0,,0,9,7,107,15.29,0,2,1,0,,,15.7
352,Trent Taylor\TaylTr02,SFO,WR,26,9,1,0,0,0,0,0,0,0,,0,21,10,86,8.6,0,0,0,0,,,18.6
353,Tyrod Taylor\TaylTy00,LAC,QB,31,2,1,16,30,208,0,0,6,7,1.17,0,0,0,0,,0,0,0,0,,,9
354,Justin Watson\WatsJu01,TAM,WR,25,6,2,0,0,0,0,0,0,0,,0,11,7,94,13.43,0,0,0,0,,,16.4
355,Josh Adams\AdamJo03,NYJ,RB,24,2,0,0,0,0,0,0,3,8,2.67,1,2,2,14,7,0,0,0,1,,,10.2
356,C.J. Board\BoarC.00,NYG,WR,27,7,4,0,0,0,0,0,1,3,3,0,12,8,76,9.5,0,0,0,0,,,15.9
357,Corey Clement\ClemCo00,PHI,RB,26,8,0,0,0,0,0,0,18,63,3.5,0,5,4,18,4.5,0,0,0,0,,,12.1
358,Tevin Coleman\ColeTe01,SFO,RB,27,3,1,0,0,0,0,0,21,50,2.38,0,4,3,34,11.33,0,0,0,0,,,11.4
359,Reggie Gilliam\GillRe00,BUF,TE,23,9,0,0,0,0,0,0,0,0,,0,2,2,16,8,1,0,0,1,,,9.6
360,De'Michael Harris\HarrDe11,IND,WR,22,2,0,0,0,0,0,0,2,28,14,0,7,7,56,8,0,0,0,0,,,15.4
361,MyCole Pruitt\PruiMy00,TEN,TE,28,6,3,0,0,0,0,0,0,0,,0,4,3,17,5.67,1,0,0,1,,,10.7
362,Ito Smith\SmitIt00,ATL,RB,25,7,0,0,0,0,0,0,12,41,3.42,0,10,7,43,6.14,0,0,0,0,,,15.4
363,Kaden Smith\SmitKa00,NYG,TE,23,9,8,0,0,0,0,0,0,0,,0,15,12,75,6.25,0,1,0,0,,,19.5
364,Blake Bell\BellBl00,DAL,TE,29,9,2,0,0,0,0,0,0,0,,0,10,6,67,11.17,0,0,0,0,,,12.7
365,Ben DiNucci\DiNuBe00,DAL,QB,24,3,1,23,43,219,0,0,6,22,3.67,0,0,0,0,,0,4,2,0,,,7
366,Chad Henne\HennCh01,KAN,QB,35,2,0,5,6,30,0,0,5,-2,-0.4,1,0,0,0,,0,1,0,1,,,7
367,Mack Hollins\HollMa00,MIA,WR,27,8,0,0,0,0,0,0,0,0,,0,1,1,11,11,1,0,0,1,,,8.1
368,Jakob Johnson\JohnJa12,NWE,RB,26,8,5,0,0,0,0,0,0,0,,0,5,5,14,2.8,1,1,0,1,,,12.4
369,Dawson Knox\KnoxDa00,BUF,TE,24,5,3,0,0,0,0,0,0,0,,0,12,6,93,15.5,0,1,1,0,,,13.3
370,Austin Mack\MackAu01,NYG,WR,23,4,0,0,0,0,0,0,0,0,,0,6,5,73,14.6,0,0,0,0,,,12.3
371,Anthony Sherman\SherAn00,KAN,RB,32,6,0,0,0,0,0,0,2,2,1,0,1,1,5,5,1,0,0,1,,,7.7
372,Courtland Sutton\SuttCo00,DEN,WR,25,1,1,0,0,0,0,0,0,0,,0,6,3,66,22,0,0,0,0,,,9.6
373,J.J. Taylor\TaylJJ01,NWE,RB,22,3,0,0,0,0,0,0,16,70,4.38,0,2,1,4,4,0,0,0,0,,,8.4
374,Michael Thomas\ThomMi05,NOR,WR,27,2,2,0,0,0,0,0,0,0,,0,11,8,68,8.5,0,0,0,0,,,14.8
375,Cameron Batson\BatsCa00,TEN,WR,25,4,1,0,0,0,0,0,1,11,11,0,4,4,45,11.25,0,0,0,0,,,9.6
376,Jason Croom\CrooJa00,PHI,TE,26,4,0,0,0,0,0,0,0,0,,0,1,1,3,3,1,0,0,1,,,7.3
377,Chase Daniel\DaniCh00,DET,QB,34,1,0,8,13,94,1,1,1,5,5,0,0,0,0,,0,0,0,0,,,6.3
378,Ashton Dulin\DuliAs00,IND,WR,23,7,0,0,0,0,0,0,1,3,3,0,4,3,53,17.67,0,1,0,0,,,8.6
