Rk,Player,Tm,FantPos,Age,G,GS,Cmp,PAtt,PYds,PTD,Int,RAtt,RYds,RYA,RTD,Tgt,Rec,RecYds,RecY/R,RecTD,Fmb,FL,TD,2PM,2PP,PPR
43,Robby Anderson\AndeRo04,CAR,WR,27,9,9,0,0,0,0,0,1,3,3,0,80,60,751,12.52,1,1,1,1,1,,141.4
44,Tyler Boyd\BoydTy00,CIN,WR,26,8,5,1,1,16,0,0,4,38,9.5,0,68,54,584,10.81,3,1,0,3,,,134.8
45,Amari Cooper\CoopAm00,DAL,WR,26,9,8,0,0,0,0,0,3,11,3.67,0,83,59,655,11.1,2,0,0,2,1,,139.6
46,Darren Waller\WallDa01,LVR,TE,28,8,7,0,0,0,0,0,0,0,,0,71,50,394,7.88,4,1,1,4,,,111.4
47,Robert Tonyan\TonyRo00,GNB,TE,26,8,7,0,0,0,0,0,0,0,,0,28,24,314,13.08,5,0,0,5,,,85.4
48,George Kittle\KittGe00,SFO,TE,27,6,6,0,0,0,0,0,2,17,8.5,0,49,37,474,12.81,2,0,0,2,,,98.1
49,Justin Herbert\HerbJu00,LAC,QB,22,7,7,181,269,2146,17,5,33,166,5.03,2,0,0,0,,0,4,1,2,,,170.4
50,Mike Davis\DaviMi01,CAR,RB,27,9,6,0,0,0,0,0,85,353,4.15,2,49,43,278,6.47,2,1,1,4,,,128.1
51,Jimmy Graham\GrahJi00,CHI,TE,34,9,9,0,0,0,0,0,0,0,,0,55,35,302,8.63,5,1,0,5,,,95.2
52,CeeDee Lamb\LambCe00,DAL,WR,21,9,7,0,0,0,0,0,5,33,6.6,0,68,44,595,13.52,3,2,1,3,,,122.8
53,Mark Andrews\AndrMa00,BAL,TE,24,8,1,0,0,0,0,0,0,0,,0,44,26,297,11.42,5,2,0,5,,,85.7
54,Hayden Hurst\HursHa00,ATL,TE,27,9,6,0,0,0,0,0,0,0,,0,54,37,411,11.11,3,0,0,3,,,96.1
55,Antonio Gibson\GibsAn00,WAS,RB,22,8,5,0,0,0,0,0,90,391,4.34,5,26,22,182,8.27,0,2,2,5,,,105.3
56,Chris Carson\CarsCh00,SEA,RB,26,6,6,0,0,0,0,0,66,323,4.89,3,25,22,147,6.68,3,1,0,6,,,105
57,Christian Kirk\KirkCh01,ARI,WR,24,7,6,0,0,0,0,0,1,3,3,0,40,23,400,17.39,6,1,0,6,,,99.3
58,Darrell Henderson\HendDa00,LAR,RB,23,8,6,0,0,0,0,0,95,458,4.82,3,15,10,120,12,1,0,0,4,,,91.8
59,Jonathan Taylor\TaylJo02,IND,RB,21,8,7,0,0,0,0,0,106,416,3.92,4,21,20,178,8.9,0,1,1,4,,,101.4
60,Ryan Tannehill\TannRy00,TEN,QB,32,8,8,167,254,1981,19,3,22,105,4.77,1,1,1,0,0,0,3,1,1,,1,166.7
61,David Montgomery\MontDa01,CHI,RB,23,9,8,0,0,0,0,0,131,472,3.6,1,41,30,212,7.07,1,1,1,2,1,,110.4
62,Jerick McKinnon\McKiJe00,SFO,RB,28,9,3,0,0,0,0,0,59,261,4.42,5,33,24,173,7.21,1,0,0,6,,,103.4
63,David Johnson\JohnDa08,HOU,RB,29,8,8,0,0,0,0,0,103,408,3.96,3,25,16,161,10.06,1,1,1,4,,,94.9
64,Joe Mixon\MixoJo00,CIN,RB,24,6,6,0,0,0,0,0,119,428,3.6,3,26,21,138,6.57,1,1,1,4,,,99.6
65,Kenyan Drake\DrakKe00,ARI,RB,26,7,5,0,0,0,0,0,119,512,4.3,4,10,7,29,4.14,0,0,0,4,,,85.1
66,Curtis Samuel\SamuCu00,CAR,WR,24,8,4,0,0,0,0,0,22,104,4.73,2,43,38,367,9.66,2,0,0,4,,,109.1
67,D'Andre Swift\SwifDA00,DET,RB,21,8,0,0,0,0,0,0,54,250,4.63,4,34,26,207,7.96,1,1,0,5,,,101.7
68,JuJu Smith-Schuster\SmitJu00,PIT,WR,24,8,8,0,0,0,0,0,0,0,,0,57,45,439,9.76,4,0,0,4,1,,114.9
69,Tee Higgins\HiggTe00,CIN,WR,21,8,6,0,0,0,0,0,5,28,5.6,0,52,33,488,14.79,3,0,0,3,,,102.6
70,Rob Gronkowski\GronRo00,TAM,TE,31,9,9,0,0,0,0,0,0,0,,0,46,27,323,11.96,3,1,0,3,,,77.3
71,Brandin Cooks\CookBr00,HOU,WR,27,8,8,0,0,0,0,0,0,0,,0,60,37,510,13.78,3,0,0,3,,,106
72,Jared Cook\CookJa02,NOR,TE,33,7,3,0,0,0,0,0,0,0,,0,32,21,279,13.29,4,1,1,4,,,70.9
73,Lamar Jackson\JackLa00,BAL,QB,23,8,8,134,213,1513,12,4,79,469,5.94,3,0,0,0,,0,6,3,3,,,159.4
74,Brandon Aiyuk\AiyuBr00,SFO,WR,22,7,7,0,0,0,0,0,4,69,17.25,2,42,28,371,13.25,2,0,0,4,,,96
75,Teddy Bridgewater\BridTe00,CAR,QB,28,9,9,220,306,2416,11,6,32,180,5.63,2,0,0,0,,0,1,1,2,,1,158.6
76,Christian McCaffrey\McCaCh01,CAR,RB,24,3,3,0,0,0,0,0,59,225,3.81,5,19,17,149,8.76,1,0,0,6,,,90.4
77,Derek Watt\WattDe00,PIT,,28,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,
78,Noah Fant\FantNo00,DEN,TE,23,7,7,0,0,0,0,0,0,0,,0,46,32,349,10.91,2,0,0,2,1,,80.9
79,Drew Brees\BreeDr00,NOR,QB,41,8,8,211,285,2120,17,3,14,2,0.14,2,0,0,0,,0,4,2,2,,,155
80,Carson Wentz\WentCa00,PHI,QB,28,8,8,178,305,1883,12,12,39,202,5.18,5,0,0,0,,0,7,4,5,,5,151.5
81,Joe Burrow\BurrJo01,CIN,QB,24,8,8,221,330,2272,11,5,35,130,3.71,3,0,0,0,,0,8,3,3,,,149.9
82,Ben Roethlisberger\RoetBe00,PIT,QB,38,8,8,196,288,1934,18,4,18,14,0.78,0,0,0,0,,0,3,0,0,,1,144.8
83,Derek Carr\CarrDe02,LVR,QB,29,8,8,180,258,2002,16,2,23,108,4.7,0,0,0,0,,0,8,5,0,,,140.9
84,Jared Goff\GoffJa00,LAR,QB,26,8,8,186,284,2145,13,6,24,40,1.67,2,0,0,0,,0,4,2,2,,1,139.8
85,Dak Prescott\PresDa01,DAL,QB,27,5,5,151,222,1856,9,4,18,93,5.17,3,1,1,11,11,1,3,3,4,1,1,135.6
86,Matthew Stafford\StafMa00,DET,QB,32,8,8,174,278,2127,14,7,17,77,4.53,0,0,0,0,,0,1,1,0,,1,134.8
87,Cam Newton\NewtCa00,NWE,QB,31,7,7,130,191,1417,2,7,69,314,4.55,8,1,1,16,16,0,3,1,8,,1,132.7
88,Gardner Minshew II\MinsGa00,JAX,QB,24,7,7,176,267,1855,13,5,25,122,4.88,1,1,1,0,0,0,4,3,1,,1,131.4
89,Kirk Cousins\CousKi00,MIN,QB,32,8,8,137,209,1855,15,10,11,55,5,0,0,0,0,,0,2,1,0,,3,123.7
90,Ryan Fitzpatrick\FitzRy00,MIA,QB,38,6,6,138,197,1535,10,7,25,135,5.4,2,1,1,0,0,0,1,0,2,1,2,119.9
91,Daniel Jones\JoneDa05,NYG,QB,23,9,9,191,306,1878,8,9,40,320,8,0,0,0,0,,0,7,4,0,,1,115.1
92,Baker Mayfield\MayfBa00,CLE,QB,25,8,8,137,223,1514,15,7,19,65,3.42,0,0,0,0,,0,1,0,0,,,113.1
93,Philip Rivers\RivePh00,IND,QB,39,8,8,186,274,2087,10,7,12,-2,-0.17,0,0,0,0,,0,1,0,0,,,109.3
94,Nick Foles\FoleNi00,CHI,QB,31,7,6,187,285,1746,10,7,13,1,0.08,1,0,0,0,,0,1,0,1,,,101.9
95,Drew Lock\LockDr00,DEN,QB,24,6,6,108,191,1240,6,6,20,58,2.9,2,0,0,0,,0,4,1,2,,,77.4
96,Melvin Gordon\GordMe00,DEN,RB,27,7,5,0,0,0,0,0,96,393,4.09,4,27,20,87,4.35,1,3,3,5,,,92
97,Myles Gaskin\GaskMy00,MIA,RB,23,7,5,0,0,0,0,0,100,387,3.87,2,35,30,198,6.6,0,1,1,2,,,98.5
98,Miles Sanders\SandMi01,PHI,RB,23,5,5,0,0,0,0,0,71,434,6.11,3,25,12,91,7.58,0,2,1,3,,,80.5
99,DJ Chark\CharDJ00,JAX,WR,24,7,7,0,0,0,0,0,0,0,,0,53,33,437,13.24,4,0,0,4,,,100.7
100,Travis Fulgham\FulgTr00,PHI,WR,25,5,5,0,0,0,0,0,0,0,,0,44,29,435,15,4,0,0,4,,,96.5
101,Chase Edmonds\EdmoCh00,ARI,RB,24,8,2,0,0,0,0,0,54,246,4.56,1,35,29,240,8.28,2,2,0,3,,,95.6
102,Cooper Kupp\KuppCo00,LAR,WR,27,8,7,0,0,0,0,0,4,33,8.25,0,71,48,527,10.98,2,1,1,2,,,114
103,Nelson Agholor\AghoNe00,LVR,WR,27,8,5,0,0,0,0,0,0,0,,0,25,17,347,20.41,5,0,0,5,,,81.7
104,Cole Beasley\BeasCo00,BUF,WR,31,9,5,0,0,0,0,0,0,0,,0,54,44,533,12.11,2,0,0,2,,,109.3
105,Darius Slayton\SlayDa01,NYG,WR,23,9,8,0,0,0,0,0,2,-1,-0.5,0,57,33,491,14.88,3,1,1,3,,,98
106,Odell Beckham Jr.\BeckOd00,CLE,WR,28,7,7,1,1,18,0,0,3,72,24,1,43,23,319,13.87,3,0,0,4,,,86.8
107,Jimmy Garoppolo\GaroJi00,SFO,QB,29,6,6,94,140,1096,7,5,10,25,2.5,0,0,0,0,,0,2,0,0,,,64.3
108,Devin Singletary\SingDe00,BUF,RB,23,9,9,0,0,0,0,0,95,386,4.06,1,33,24,192,8,0,0,0,1,,,87.8
109,Rex Burkhead\BurkRe00,NWE,RB,30,8,0,0,0,0,0,0,57,236,4.14,3,25,19,152,8,1,0,0,4,,,81.8
