Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Derrick Henry\HenrDe00,TEN,26,rb,8,8,182,843,42,341,1.9,502,2.8,17,10.7
2,Josh Jacobs\JacoJo01,LVR,22,rb,8,8,161,588,37,288,1.8,300,1.9,14,11.5
3,Todd Gurley\GurlTo01,ATL,26,rb,9,9,159,584,35,276,1.7,308,1.9,16,9.9
4,Ezekiel Elliott\ElliEz00,DAL,25,rb,9,9,150,572,39,277,1.8,295,2,11,13.6
5,Dalvin Cook\CookDa01,MIN,25,rb,7,7,144,858,48,402,2.8,456,3.2,19,7.6
6,James Robinson\RobiJa00,JAX,22,rb,8,8,132,580,31,253,1.9,327,2.5,10,13.2
7,David Montgomery\MontDa01,CHI,23,rb,9,8,131,472,27,147,1.1,325,2.5,18,7.3
8,Clyde Edwards-Helaire\EdwaCl00,KAN,21,rb,9,9,126,586,29,295,2.3,291,2.3,14,9
9,Ronald Jones II\JoneRo01,TAM,23,rb,9,9,120,538,30,215,1.8,323,2.7,7,17.1
10,James Conner\ConnJa00,PIT,25,rb,8,7,119,520,29,287,2.4,233,2,10,11.9
11,Kenyan Drake\DrakKe00,ARI,26,rb,7,5,119,512,28,368,3.1,144,1.2,8,14.9
12,Joe Mixon\MixoJo00,CIN,24,rb,6,6,119,428,20,226,1.9,202,1.7,3,39.7
13,Kareem Hunt\HuntKa00,CLE,25,rb,8,4,115,529,30,208,1.8,321,2.8,7,16.4
14,Frank Gore\GoreFr00,NYJ,37,rb,9,8,108,386,21,145,1.3,241,2.2,5,21.6
15,Jonathan Taylor\TaylJo02,IND,21,rb,8,7,106,416,26,265,2.5,151,1.4,2,53
16,David Johnson\JohnDa08,HOU,29,rb,8,8,103,408,23,228,2.2,180,1.7,4,25.8
17,Myles Gaskin\GaskMy00,MIA,23,rb,7,5,100,387,21,181,1.8,206,2.1,5,20
18,Melvin Gordon\GordMe00,DEN,27,rb,7,5,96,393,18,190,2,203,2.1,7,13.7
19,Alvin Kamara\KamaAl00,NOR,25,rb,8,6,96,471,29,283,2.9,188,2,10,9.6
20,Darrell Henderson\HendDa00,LAR,23,rb,8,6,95,458,33,232,2.4,226,2.4,7,13.6
21,Devin Singletary\SingDe00,BUF,23,rb,9,9,95,386,26,118,1.2,268,2.8,5,19
22,Adrian Peterson\PeteAd01,DET,35,rb,8,6,93,350,18,240,2.6,110,1.2,4,23.3
23,Joshua Kelley\KellJo01,LAC,23,,8,0,91,292,16,144,1.6,148,1.6,7,13
24,Antonio Gibson\GibsAn00,WAS,22,rb,8,5,90,391,19,205,2.3,186,2.1,14,6.4
25,Aaron Jones\JoneAa00,GNB,26,rb,6,6,90,447,21,206,2.3,241,2.7,8,11.3
26,Mike Davis\DaviMi01,CAR,27,rb,9,6,85,353,18,98,1.2,255,3,14,6.1
27,Latavius Murray\MurrLa00,NOR,30,rb,8,3,81,321,20,158,2,163,2,3,27
28,Lamar Jackson\JackLa00,BAL,23,qb,8,8,79,469,22,370,4.7,99,1.3,6,13.2
