Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
118,Jeff Driskel\DrisJe00,DET,26,/qb,3,3,22,151,10,126,5.7,25,1.1,1,22
119,Trey Edmunds\EdmuTr00,PIT,25,,11,0,22,92,2,53,2.4,39,1.8,0,
120,Qadree Ollison\OlliQa00,ATL,23,,8,0,22,50,6,29,1.3,21,1,0,
121,Wendell Smallwood\SmalWe00,WAS,25,,15,0,22,81,4,47,2.1,34,1.5,1,22
122,Ito Smith\SmitIt00,ATL,24,,7,0,22,106,10,71,3.2,35,1.6,2,11
123,Devlin Hodges\HodgDe00,PIT,23,qb,8,6,21,68,5,64,3,4,0.2,0,
124,Mason Rudolph\RudoMa00,PIT,24,QB,10,8,21,42,6,21,1,21,1,1,21
125,Robert Griffin III\GrifRo01,BAL,29,,7,1,20,70,5,51,2.6,19,1,1,20
126,Dwayne Haskins\HaskDw00,WAS,22,qb,9,7,20,101,7,72,3.6,29,1.5,0,
127,Matthew Stafford\StafMa00,DET,31,QB,8,8,20,66,5,54,2.7,12,0.6,1,20
128,Curtis Samuel\SamuCu00,CAR,23,WR,16,15,19,130,7,103,5.4,27,1.4,1,19
129,Tra Carson\CarsTr01,2TM,27,,3,1,18,48,3,19,1.1,29,1.6,0,
130,Travis Homer\HomeTr00,SEA,21,,16,1,18,114,6,82,4.6,32,1.8,0,
131,Drew Lock\LockDr00,DEN,23,qb,5,5,18,72,5,63,3.5,9,0.5,2,9
132,Cordarrelle Patterson*+\PattCo00,CHI,28,,16,4,17,103,4,81,4.8,22,1.3,3,5.7
133,Darren Sproles\SproDa00,PHI,36,/rb,6,1,17,66,3,40,2.4,26,1.5,0,
134,Spencer Ware\WareSp00,KAN,28,,3,1,17,51,3,21,1.2,30,1.8,2,8.5
135,Robert Woods\WoodRo02,LAR,27,WR,15,15,17,115,5,81,4.8,34,2,3,5.7
136,T.J. Yeldon\YeldT.00,BUF,26,,6,0,17,63,5,15,0.9,48,2.8,4,4.3
137,C.J. Anderson\AndeC.00,DET,28,,2,0,16,43,1,6,0.4,37,2.3,1,16
138,Reggie Bonnafon\BonnRe00,CAR,23,,16,0,16,116,2,92,5.8,24,1.5,1,16
139,Brandon Bolden\BoldBr00,NWE,29,,15,2,15,68,5,46,3.1,22,1.5,2,7.5
140,Elijhaa Penny\PennEl00,NYG,26,,16,1,15,39,2,16,1.1,23,1.5,1,15
141,Deebo Samuel\SamuDe00,SFO,23,WR,15,11,14,159,5,105,7.5,54,3.9,2,7
142,Mike Davis\DaviMi01,2TM,26,,12,1,13,27,0,15,1.2,12,0.9,0,
143,Dontrell Hilliard\HillDo00,CLE,24,,14,0,13,49,3,36,2.8,13,1,0,
144,Joe Flacco\FlacJo00,DEN,34,QB/qb,8,8,12,20,4,16,1.3,4,0.3,0,
145,Marshawn Lynch\LyncMa00,SEA,33,,1,0,12,34,2,20,1.7,14,1.2,0,
146,Paul Perkins\PerkPa00,DET,25,,4,0,12,29,3,16,1.3,13,1.1,1,12
147,Philip Rivers\RivePh00,LAC,38,QB,16,16,12,29,2,29,2.4,0,0,0,
148,Dalyn Dawkins\DawkDa01,TEN,25,,2,0,11,26,2,17,1.5,9,0.8,0,
149,Dare Ogunbowale\OgunDa00,TAM,25,,16,0,11,17,3,5,0.5,12,1.1,1,11
